id,language,category,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,meaning,explanation,created_at
GK_EN_0023,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,"Which of the following was the first Indian constitution that was adopted on January 26, 1950?",The Indian Independence Act of 1947,The Government of India Act of 1935,The Indian Constitution,The Constitution of Pakistan,C,The Indian Constitution,"The Indian Constitution was the first written constitution of India, providing the legal framework for the nation's governance.","The Indian Constitution, adopted on January 26, 1950, was the first written constitution of the newly independent India, establishing the democratic structure of the country.",2026-09-14 11:08:45
GK_EN_0024,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,Who is known as the father of the Indian Navy and played a crucial role in the Indian independence movement?,Bal Gangadhar Tilak,Lala Lajpat Rai,Gopal Krishna Gokhale,Pandit Jawaharlal Nehru,D,Pandit Jawaharlal Nehru,"Pandit Nehru, also known as Pandit Jawaharlal Nehru, was a prominent leader in the Indian independence movement and is credited with the founding of the Indian Navy.","Pandit Jawaharlal Nehru was a key figure in the Indian independence movement, and his role in establishing the Indian Navy as a symbol of national pride and self-reliance during the freedom struggle is well-recognized.",2026-09-14 11:08:45
GK_EN_0025,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,Which of the following was the first Indian to receive the Nobel Prize in Literature?,Rabindranath Tagore,R.K. Narayan,V. S. Naipaul,Salman Rushdie,A,Rabindranath Tagore,"Rabindranath Tagore received the Nobel Prize in Literature in 1913, making him the first Indian to receive this prestigious award.","Rabindranath Tagore was a renowned poet, philosopher, and writer who received the Nobel Prize in Literature in 1913, recognizing his significant contribution to literature and his profound impact on Indian culture.",2026-09-14 11:08:45
GK_EN_0026,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,Which of the following movements was launched by Mahatma Gandhi to protest against the British salt tax?,The Non-Cooperation Movement,The Civil Disobedience Movement,The Quit India Movement,The Dandi March (Salt Satyagraha),D,The Dandi March (Salt Satyagraha),"The Dandi March, also known as the Salt Satyagraha, was a pivotal event in the Indian freedom struggle, led by Gandhi to protest against the salt tax imposed by the British.","The Dandi March, or Salt Satyagraha, was a significant non-violent protest against the British salt tax, led by Mahatma Gandhi, which demonstrated the power of civil disobedience and non-cooperation.",2026-09-14 11:08:45
GK_EN_0027,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,Which of the following was a significant event that marked the end of the British Raj in India?,The partition of India in 1947,The signing of the Quit India resolution in 1942,The Indian Independence Act of 1947,The establishment of the Cripps Mission in 1942,C,The Indian Independence Act of 1947,"The Indian Independence Act of 1947 formally ended the British Raj and granted independence to India, marking a new era in the nation's history.","The Indian Independence Act of 1947 was a landmark piece of legislation that formally ended the British Raj and granted independence to India, paving the way for the establishment of a sovereign nation.",2026-09-14 11:08:45
GK_EN_0028,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,"Who was the first Indian to receive the Bharat Ratna, India's highest civilian award?",Abul Kalam Azad,Rabindranath Tagore,Bhimrao Ambedkar,Chandrasekhara Venkata Raman,B,Rabindranath Tagore,"Rabindranath Tagore was the first Indian to receive the Bharat Ratna, the highest civilian award in India, in 1954.","Rabindranath Tagore was a renowned poet, philosopher, and writer who received the Bharat Ratna in 1954, recognizing his significant contributions to literature and culture.",2026-09-14 11:08:45
GK_EN_0029,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,Which of the following events is known as the 'Black Hole of Calcutta' and is associated with the early British East India Company rule in India?,The Battle of Plassey in 1757,The signing of the Treaty of Paris in 1763,The incident in Fort William in 1756,The Sepoy Mutiny of 1857,C,The incident in Fort William in 1756,"The incident in Fort William in 1756, where many Indian prisoners died due to suffocation, is often referred to as the 'Black Hole of Calcutta'.","The incident in Fort William in 1756, where 146 Indian prisoners died due to suffocation, is infamous and often referred to as the 'Black Hole of Calcutta', highlighting the brutal nature of early British rule in India.",2026-09-14 11:08:45
GK_EN_0030,English,General Knowledge,Modern Indian History & Freedom Struggle,Medium,Which of the following was a significant leader of the Indian independence movement who was executed by the British for his involvement in the Quit India Movement?,Chandrashekhar Azad,Subhas Chandra Bose,Bhagat Singh,Sardar Vallabhbhai Patel,C,Bhagat Singh,Bhagat Singh was a key figure in the Indian independence movement and was executed by the British for his involvement in the Quit India Movement and other revolutionary activities.,"Bhagat Singh was a prominent revolutionary and a leader of the Indian independence movement who was executed by the British for his involvement in various revolutionary activities, including the Quit India Movement.",2026-09-14 11:08:45
GK_EN_0031,English,General Knowledge,World History & Revolutions,Hard,Which of the following revolutions was primarily triggered by the financial crisis caused by the American Revolutionary War and led to the abolition of slavery in a European country?,The Haitian Revolution,The French Revolution,The Russian Revolution,The Latin American Wars of Independence,A,The Haitian Revolution,The Haitian Revolution abolished slavery in Saint-Domingue (now Haiti) and marked a significant turning point in the history of slavery.,"The Haitian Revolution began in 1791 and ended in 1804, leading to the establishment of Haiti as the first black republic and the abolition of slavery in a European colony.",2026-09-14 11:09:11
GK_EN_0032,English,General Knowledge,World History & Revolutions,Hard,"Which of the following historical events is considered a precursor to the French Revolution, highlighting the growing discontent among the French peasantry and the lower classes?",The Fronde,The Tennis Court Oath,The Storming of the Bastille,The Reign of Terror,A,The Fronde,"The Fronde was a series of civil wars in France during the 1640s, reflecting the discontent among the nobility and the urban poor.","The Fronde, a series of conflicts from 1648 to 1653, demonstrated the growing unrest among various social classes in France, particularly the lower and middle classes, setting the stage for the French Revolution.",2026-09-14 11:09:11
GK_EN_0033,English,General Knowledge,World History & Revolutions,Hard,"Which of the following ideologies was most influential in the spread of revolutionary ideas during the late 18th century, leading to the rise of nationalism and republicanism across Europe?",Liberalism,Socialism,Utilitarianism,Enlightenment,D,Enlightenment,"The Enlightenment promoted ideas of reason, liberty, and equality, which were key in shaping revolutionary movements and ideals.","The Enlightenment, a philosophical movement in the 18th century, emphasized reason and individual rights, influencing revolutionary thinkers and leaders across Europe and the Americas.",2026-09-14 11:09:11
GK_EN_0034,English,General Knowledge,World History & Revolutions,Hard,"Which of the following events is considered the spark that ignited the Russian Revolution of 1917, leading to the overthrow of the Tsarist regime and the establishment of the Soviet government?",The Battle of Tannenberg,The February Revolution,The Siege of Petrograd,The October Revolution,B,The February Revolution,"The February Revolution of 1917 saw the abdication of Tsar Nicholas II, leading to the establishment of a provisional government.","The February Revolution, which began in February 1917 (March in the Gregorian calendar), resulted in the abdication of Tsar Nicholas II and the formation of a provisional government, setting the stage for further revolutionary actions.",2026-09-14 11:09:11
GK_EN_0035,English,General Knowledge,World History & Revolutions,Hard,"Which of the following leaders is credited with the slogan 'Liberté, égalité, fraternité', which became a central principle of the French Revolution and is still widely recognized today?",Maximilien Robespierre,Jean-Paul Marat,Georges Danton,Robespierre,D,Robespierre,Robespierre's slogan became synonymous with the revolutionary ideals of the French Revolution.,"Robespierre, a key figure during the Reign of Terror, popularized the slogan 'Liberté, égalité, fraternité' to represent the revolutionary principles of liberty, equality, and brotherhood in France.",2026-09-14 11:09:11
GK_EN_0036,English,General Knowledge,World History & Revolutions,Hard,"Which of the following events marked the first successful large-scale national revolution in Latin America, leading to the independence of a country that had been a colony of Spain for over 300 years?",The War of Independence in Mexico,The Argentine War of Independence,The Venezuelan War of Independence,The Brazilian War of Independence,C,The Venezuelan War of Independence,The Venezuelan War of Independence was a significant event that led to the independence of Venezuela from Spanish rule in 1821.,"The Venezuelan War of Independence, initiated by Simón Bolívar, was a pivotal struggle that ended Spanish colonial rule in Venezuela and contributed to the broader Latin American independence movements.",2026-09-14 11:09:11
GK_EN_0037,English,General Knowledge,World History & Revolutions,Hard,"Which of the following political theories, proposed by Karl Marx and Friedrich Engels, influenced various revolutionary movements in the 19th and 20th centuries, advocating for the overthrow of capitalism through proletarian revolution?",Anarchism,Feminism,Marxism,Nationalism,C,Marxism,Marxism is a political and economic theory that emphasizes class struggle and the eventual dictatorship of the proletariat.,"Marxism, developed by Karl Marx and Friedrich Engels, became a foundational ideology for various revolutionary movements, advocating for the overthrow of capitalist systems and the establishment of a classless society.",2026-09-14 11:09:11
GK_EN_0038,English,General Knowledge,World History & Revolutions,Hard,"Which of the following uprisings is considered the first successful communist revolution, leading to the establishment of the Soviet state and the first socialist government in history?",The Paris Commune,The Bolshevik Revolution,The Hungarian Revolution of 1956,The Chinese Revolution of 1949,B,The Bolshevik Revolution,"The Bolshevik Revolution, led by Vladimir Lenin, resulted in the establishment of the Soviet Union in 1917.","The Bolshevik Revolution, also known as the October Revolution, was a pivotal event in world history that led to the creation of the Soviet state and the first socialist government in the world.",2026-09-14 11:09:11
GK_EN_0039,English,General Knowledge,World History & Revolutions,Hard,"Which of the following events marked the end of the Cold War, symbolizing the collapse of communist states and the dissolution of the Soviet Union, which was once a superpower in the global geopolitical landscape?",The signing of the Helsinki Accords,The fall of the Berlin Wall,The dissolution of the Soviet Union,The Gulf War,C,The dissolution of the Soviet Union,The dissolution of the Soviet Union in 1991 signified the end of the Cold War and the collapse of communism as a global political and economic system.,"The dissolution of the Soviet Union in December 1991 marked a significant geopolitical shift, ending the Cold War and leading to the fragmentation of the Soviet state into independent nations.",2026-09-14 11:09:11
GK_EN_0040,English,General Knowledge,World History & Revolutions,Hard,"Which of the following leaders is recognized as the first President of the Republic of China, playing a crucial role in the Chinese Revolution and the establishment of the Nationalist government in the early 20th century?",Sun Yat-sen,Mao Zedong,Chiang Kai-shek,Li Hongzhang,A,Sun Yat-sen,"Sun Yat-sen was a key figure in the Chinese Revolution, advocating for the Three Principles of the People and founding the Republic of China.","Sun Yat-sen, a prominent revolutionary and political leader, played a critical role in the Chinese Revolution, leading to the establishment of the Republic of China in 1912 and influencing the development of the Nationalist government.",2026-09-14 11:09:11
GK_EN_0041,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which river flows through the state of Bihar?,Narmada,Ganga,Krishna,Godavari,B,Ganga,The Ganga river is one of the major rivers in India and passes through Bihar.,"The Ganga river is a significant water body in India, flowing through several states including Bihar and is also considered sacred in Hinduism.",2026-09-14 11:09:33
GK_EN_0042,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which of the following is the highest peak in India?,Kanchenjunga,Kilimanjaro,Annapurna,K2,A,Kanchenjunga,"Kanchenjunga is the highest peak in India, located in the Himalayas.","Kanchenjunga stands at 8,586 meters (28,169 feet) and is the third-highest mountain in the world, located in the Himalayas and straddling the border between Nepal and India.",2026-09-14 11:09:33
GK_EN_0043,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which mountain range forms the northern boundary of India?,Western Ghats,Himalayas,Aravalli,Eastern Ghats,B,Himalayas,The Himalayas are a massive mountain range that separates India from Tibet and extends across several countries in Asia.,"The Himalayas form a natural barrier and are known for their snow-capped peaks and rich biodiversity, playing a crucial role in regulating the climate of the Indian subcontinent.",2026-09-14 11:09:33
GK_EN_0044,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which of the following is the largest desert in India?,Thar Desert,Kalahari Desert,Sahara Desert,Gobi Desert,A,Thar Desert,"The Thar Desert is a semi-arid region in western India, covering parts of Rajasthan.","The Thar Desert, also known as the Great Indian Desert, covers an area of around 200,000 square kilometers, making it the largest desert in India and a significant geographical feature.",2026-09-14 11:09:33
GK_EN_0045,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which river is known for the Sundarbans mangrove forest in India?,Brahmaputra,Ganga,Kaveri,Mahanadi,A,Brahmaputra,"The Sundarbans, a mangrove forest, is located in the delta of the Brahmaputra and Meghna rivers in West Bengal.","The Sundarbans, a UNESCO World Heritage Site, is known for its unique ecosystem and the presence of the Bengal tiger, and is formed by the confluence of the Brahmaputra and Meghna rivers.",2026-09-14 11:09:33
GK_EN_0046,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which of the following is a major tributary of the Ganga?,Mahanadi,Krishna,Yamuna,Narmada,C,Yamuna,"The Yamuna is a major tributary of the Ganga, forming a significant part of the river system in northern India.","The Yamuna is one of the largest tributaries of the Ganga and is known for its historical and cultural significance, including its role in the development of the ancient city of Mathura.",2026-09-14 11:09:33
GK_EN_0047,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which mountain range is the longest in India?,Western Ghats,Himalayas,Aravalli,Eastern Ghats,B,Himalayas,"The Himalayas are the longest mountain range in India, extending over 2,400 kilometers.","The Himalayas are not only the longest mountain range in India but also one of the most significant in the world, providing a vital ecological and hydrological resource.",2026-09-14 11:09:33
GK_EN_0048,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which river forms the eastern boundary of the Deccan Plateau?,Kaveri,Godavari,Krishna,Mahanadi,B,Godavari,The Godavari river forms the eastern boundary of the Deccan Plateau and is the second-longest river in India.,"The Godavari river is a major river in India, flowing through several states and forming a significant part of the eastern boundary of the Deccan Plateau, known for its rich agricultural lands and cultural significance.",2026-09-14 11:09:33
GK_EN_0049,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which of the following rivers is known for its delta in West Bengal?,Narmada,Brahmaputra,Krishna,Ganga,B,Brahmaputra,"The Brahmaputra river forms a large delta in the state of West Bengal, India.","The Brahmaputra river is known for its delta in West Bengal, which is a fertile region supporting agriculture and forming part of the Sundarbans mangrove forest.",2026-09-14 11:09:33
GK_EN_0050,English,General Knowledge,"Indian Geography (Rivers, Mountains, Climate)",Easy,Which mountain range separates the Indo-Gangetic Plain from the Deccan Plateau?,Aravalli,Himalayas,Western Ghats,Eastern Ghats,C,Western Ghats,The Western Ghats separate the Indo-Gangetic Plain from the Deccan Plateau and are a range of mountains running parallel to the western coast of India.,"The Western Ghats play a crucial role in the hydrology of southern India, influencing the monsoon pattern and providing a rich biodiversity hotspot.",2026-09-14 11:09:33
GK_EN_0051,English,General Knowledge,World Geography & Solar System,Medium,Which planet in our solar system is known for its Great Red Spot?,Mercury,Mars,Jupiter,Saturn,C,Jupiter,The Great Red Spot is a persistent anticyclonic storm located in Jupiter's atmosphere.,"The Great Red Spot is a massive storm larger than Earth, located in Jupiter's atmosphere. It has been observed for centuries and is a distinctive feature of Jupiter's surface.",2026-09-14 11:09:54
GK_EN_0052,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is the largest desert in the world by area?,Antarctic Desert,Arabian Desert,Sahara Desert,Gobi Desert,A,Antarctic Desert,"The Antarctic Desert is the largest desert in the world by area, covering approximately 14 million square kilometers.","The Antarctic Desert is primarily located in Antarctica and is the world's largest desert, not only in terms of size but also due to its extremely low precipitation levels.",2026-09-14 11:09:54
GK_EN_0053,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is a planet that lies beyond the asteroid belt in our solar system?,Mercury,Venus,Mars,Jupiter,D,Jupiter,Jupiter is the first planet beyond the asteroid belt in our solar system.,"Jupiter is located beyond the asteroid belt, which separates the inner solar system from the outer solar system, and is the largest planet in our solar system.",2026-09-14 11:09:54
GK_EN_0054,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is the deepest point in the ocean?,Mariana Trench,Kermadec Trench,Palmyra Trench,Java Trench,A,Mariana Trench,"The Mariana Trench is the deepest known point in the world's oceans, reaching a depth of approximately 36,000 feet.","The Mariana Trench, located in the western Pacific Ocean, is the deepest part of the world's oceans, with its deepest point known as the Challenger Deep.",2026-09-14 11:09:54
GK_EN_0055,English,General Knowledge,World Geography & Solar System,Medium,Which mountain range is the highest in the world?,Andes,Himalayas,Rocky Mountains,Ural Mountains,B,Himalayas,"The Himalayas are the highest mountain range in the world, with Mount Everest being the highest peak.","The Himalayas, extending across five countries in Asia, are the highest mountain range in the world, with Mount Everest being the highest peak at 8,848 meters above sea level.",2026-09-14 11:09:54
GK_EN_0056,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is the largest country by land area?,China,United States,Russia,Canada,C,Russia,"Russia is the largest country by land area, spanning 17,098,246 square kilometers.","Russia is the largest country by land area, stretching across Eastern Europe and northern Asia, covering a vast territory with diverse landscapes and climates.",2026-09-14 11:09:54
GK_EN_0057,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is the largest freshwater lake in the world by volume?,Lake Victoria,Lake Superior,Lake Huron,Lake Baikal,D,Lake Baikal,"Lake Baikal is the largest freshwater lake in the world by volume, containing about 20% of the world's fresh surface water.","Lake Baikal, located in Russia, is not only the largest freshwater lake by volume but also the deepest and oldest freshwater lake in the world, known for its unique biodiversity and crystal clear waters.",2026-09-14 11:09:54
GK_EN_0058,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is the largest island in the world?,Greenland,New Guinea,Borneo,Madagascar,A,Greenland,"Greenland is the largest island in the world, with an area of approximately 2.17 million square kilometers.","Greenland, though primarily covered in ice, is the largest island in the world, located in the North Atlantic Ocean and is part of the Kingdom of Denmark.",2026-09-14 11:09:54
GK_EN_0059,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is the most densely populated country in the world?,Japan,Singapore,Malta,Bangladesh,D,Bangladesh,"Bangladesh is the most densely populated country in the world, with a population density of over 1,300 people per square kilometer.","Bangladesh is densely populated due to its small land area and high population, with a large number of people living in a relatively small geographical space, leading to significant urban and rural challenges.",2026-09-14 11:09:54
GK_EN_0060,English,General Knowledge,World Geography & Solar System,Medium,Which of the following is the most populous country in the world?,India,China,United States,Indonesia,B,China,"China is the most populous country in the world, with a population of over 1.4 billion people.","China, with its large land area and long history, has the largest population in the world, contributing significantly to global demographics and economies.",2026-09-14 11:09:54
GK_EN_0061,English,General Knowledge,"Indian Polity, Constitution & Governance",Hard,Which of the following constitutional provisions is unique to India and not found in the constitutions of other democratic countries?,The right to free and compulsory education for children aged 6 to 14 years,The provision for a National Emergency that can suspend fundamental rights,The directive principles of state policy,The provision for a President with a term of five years,C,The directive principles of state policy,The directive principles are non-enforceable but guide the state in its policy-making.,"While the other provisions are also unique in their own context, the directive principles of state policy are specifically a part of the Constitution of India and not found in other constitutions.",2026-09-14 11:10:19
